first_name,last_name,location,linkedin,email,current_title_and_company,prior_title_and_company,school_and_degree,climate_interest_reason,created_at,status,internal_notes
Keiko,Anderson,TX,https://linkedin.com/in/keikoanderson,keiko.anderson@protonmail.com,Full Stack Engineer at Microsoft,Sales Director @ Coinbase,MIT - Engineering,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-03T19:28:03Z,confirmed,Student exploring.
Sandeep,Torres,Seattle,,sandeep.torres@yahoo.com,Angel Investor @ VC Fund,,Oxford - PPE,"Honestly, I just like meeting founders and seeing what people are building.",2026-02-05T20:25:02Z,applied,
Logan,Cho,LA,https://linkedin.com/in/logancho,logancho@gmail.com,Startup Founder (exploring) @ Family Office,Startup Founder (exploring) @ Self-employed,NYU - Marketing,Considering building something but still ideating.,2026-02-16T09:37:40Z,applied,
Ava,Collins,Paris,https://linkedin.com/in/avacollins,avacollins@protonmail.com,Coinbase,Backend Engineer @ Shopify,NYU - Marketing,Just curious about the startup scene.,2026-02-03T01:39:36Z,accepted,
Daniel,Stewart,Bay Area,,danielstewart@gmail.com,Startup Founder (exploring) @ Family Office,,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-01-13T00:03:45Z,accepted,Likely strong founder.
Yuki,Carter,TX,https://linkedin.com/in/yukicarter,yukicarter@protonmail.com,Talent Lead at Google,Student @ Coinbase,Harvard - Economics,Looking to build relationships with founders who will need early hires.,2026-01-15T04:50:07Z,applied,
Jun,Lee,IL,https://linkedin.com/in/junlee,jun49@protonmail.com,ML Engineer at Family Office,,Stanford - CS,Curious whether distributed systems problems show up in climate infra.,2026-02-03T03:37:41Z,declined,
Jun,Collins,London,https://linkedin.com/in/juncollins,jun50@yahoo.com,Startup Founder (exploring),Marketing Manager,,Just curious about the startup scene.,2026-02-10T19:03:14Z,confirmed,
Riley,Hall,Paris,https://linkedin.com/in/rileyhall,riley.hall@yahoo.com,Community Lead @ VC Fund,Shopify,,Just curious about the startup scene.,2026-01-23T20:30:24Z,accepted,
Sofia,Walker,Toronto,https://linkedin.com/in/sofiawalker,sofiawalker@gmail.com,Business Development @ Family Office,CTO @ Coinbase,Cambridge - Engineering,Just curious about the startup scene.,2026-02-12T12:18:04Z,accepted,
Emma,Walker,NYC,,emma53@outlook.com,Community Lead @ Google,,UCLA - Design,Just curious about the startup scene.,2026-02-02T18:12:20Z,accepted,
Isabella,Martinez,CO,https://linkedin.com/in/isabellamartinez,imartinez@gmail.com,Chief of Staff at University,Angel Investor @ Google,Community College,Exploring operator roles in mission-driven startups.,2026-01-01T01:42:04Z,applied,
Noor,Cho,MA,https://linkedin.com/in/noorcho,noor.cho@gmail.com,Talent Lead @ Stripe,Recruiter,NYU - Marketing,Looking to build relationships with founders who will need early hires.,2026-01-09T05:47:09Z,applied,
Ben,Turner,USA,https://linkedin.com/in/benturner,ben56@gmail.com,Marketing Manager at University,Startup Founder (exploring) at Airbnb,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-02-22T02:27:42Z,applied,
Theo,Kim,"San Francisco, CA",https://linkedin.com/in/theokim,theo57@gmail.com,Operations Manager,,Oxford - PPE,"Not sure yet, just checking out the ecosystem.",2026-02-18T08:29:26Z,accepted,
Yuki,Stewart,Canada,https://linkedin.com/in/yukistewart,ystewart@gmail.com,Community Lead @ Stripe,Angel Investor @ VC Fund,State University - Business,Considering building something but still ideating.,2026-01-22T03:11:24Z,applied,
Nina,Carter,Austin TX,,nina.carter@protonmail.com,Sales Director @ Airbnb,,High School Senior,I don't have a concrete idea yet but want exposure.,2026-02-14T09:46:11Z,declined,
Jamie,Martin,IL,https://linkedin.com/in/jamiemartin,jamiemartin@protonmail.com,Student @ Microsoft,Technical Co-founder @ Shopify,Stanford - CS,I'm exploring startup careers and curious about climate.,2026-01-25T12:23:28Z,accepted,
Aisha,Green,TX,,aisha61@gmail.com,Community Lead,,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-01-30T00:39:37Z,applied,
Adam,Clark,WA,https://linkedin.com/in/adamclark,adamclark@outlook.com,Angel Investor @ Coinbase,ML Engineer at VC Fund,,Evaluating whether climate is too crowded for new capital.,2026-01-28T05:13:45Z,applied,
Sara,Adams,Toronto,https://linkedin.com/in/saraadams,sara.adams@gmail.com,Student at Early-stage startup,MBA Candidate @ Amazon,Cambridge - Engineering,I'm exploring startup careers and curious about climate.,2026-01-17T17:24:19Z,applied,
Fatima,Wright,NYC,https://linkedin.com/in/fatimawright,fatima64@yahoo.com,Community Lead at Airbnb,Nonprofit,Harvard - Economics,Considering building something but still ideating.,2026-01-12T13:01:03Z,applied,
Adam,Parker,Miami,https://linkedin.com/in/adamparker,adamparker@outlook.com,AI Researcher @ Early-stage startup,Microsoft,State University - Business,I'm a technical founder exploring climate SaaS opportunities.,2026-01-12T15:37:45Z,applied,
Sara,Carter,Chicago,https://linkedin.com/in/saracarter,scarter@gmail.com,Venture Associate,,,I heard there would be good snacks and interesting conversations.,2026-01-15T17:29:37Z,accepted,
Arjun,Hill,CA,https://linkedin.com/in/arjunhill,arjun67@yahoo.com,Marketing Manager at University,,High School Senior,I don't have a concrete idea yet but want exposure.,2026-01-02T13:54:01Z,applied,
Priya,Taylor,WA,https://linkedin.com/in/priyataylor,priya.taylor@outlook.com,Chief of Staff,,High School Senior,I don't have a concrete idea yet but want exposure.,2026-01-30T00:03:23Z,applied,
Sandeep,Adams,Austin TX,https://linkedin.com/in/sandeepadams,sandeep69@gmail.com,Product Manager (non-technical) @ Stealth,,NYU - Marketing,Considering building something but still ideating.,2026-01-10T21:21:24Z,applied,
Kiran,Hill,Toronto,,kiran70@protonmail.com,Policy Analyst at Amazon,Software Engineer at Coinbase,UCLA - Design,Exploring whether climate is a space worth committing to.,2026-01-22T15:47:59Z,applied,
Camila,Carter,London,https://linkedin.com/in/camilacarter,ccarter@gmail.com,Sales Director @ Self-employed,Google,State University - Business,I want to meet interesting people.,2026-01-26T06:04:57Z,accepted,Student exploring.
Arjun,Nguyen,CO,,arjunnguyen@protonmail.com,Business Development,ML Engineer @ University,Stanford - CS,I want to meet interesting people.,2026-01-12T19:13:57Z,applied,
Taylor,Mitchell,IL,https://linkedin.com/in/taylormitchell,taylormitchell@outlook.com,Business Development @ Google,,State University - Business,Exploring whether climate is a space worth committing to.,2026-01-23T12:17:49Z,applied,
Diego,Mehta,Berlin,,dmehta@outlook.com,Angel Investor @ Early-stage startup,Startup Founder (exploring) @ Coinbase,Harvard - Economics,"Honestly, I just like meeting founders and seeing what people are building.",2026-02-03T02:34:28Z,confirmed,Student exploring.
Noor,Adams,Los Angeles,,nooradams@outlook.com,Community Lead at Microsoft,Recruiter at Consulting Firm,Harvard - Economics,Just curious about the startup scene.,2026-02-03T14:21:33Z,confirmed,
Priya,Singh,Miami,https://linkedin.com/in/priyasingh,priya76@protonmail.com,Startup Founder (exploring) @ Stripe,MBA Candidate @ Nonprofit,Stanford - CS,Just curious about the startup scene.,2026-01-11T04:44:11Z,declined,
Jamie,Nelson,Austin TX,https://linkedin.com/in/jamienelson,jamienelson@gmail.com,Chief of Staff at Amazon,Business Development @ Stripe,High School Senior,Mostly here to learn and see what people are working on.,2026-01-08T18:23:02Z,confirmed,
Olivia,Turner,Denver,,olivia.turner@gmail.com,Chief of Staff,Sales Director,UCLA - Design,Exploring operator roles in mission-driven startups.,2026-02-03T10:55:46Z,applied,
Mei,Brown,MA,https://linkedin.com/in/meibrown,meibrown@protonmail.com,Operations Manager,VC Fund,Cambridge - Engineering,Exploring operator roles in mission-driven startups.,2026-02-06T03:46:39Z,applied,
Daniel,Mitchell,CA,,daniel.mitchell@protonmail.com,Startup Founder (exploring) @ Google,,State University - Business,Considering building something but still ideating.,2026-01-23T05:48:13Z,applied,
Priya,Thomas,Bay Area,https://linkedin.com/in/priyathomas,priyathomas@gmail.com,CTO at University,,,I'm a technical founder exploring climate SaaS opportunities.,2026-01-29T01:26:49Z,applied,Probably not serious.
Chloe,Anderson,CO,https://linkedin.com/in/chloeanderson,canderson@yahoo.com,Software Engineer at Nonprofit,Chief of Staff @ Google,Community College,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-22T03:41:22Z,applied,
Arjun,Ramirez,Seattle,https://linkedin.com/in/arjunramirez,arjun83@protonmail.com,Policy Analyst @ Stripe,,Harvard - Economics,Exploring whether climate is a space worth committing to.,2026-01-04T17:32:49Z,applied,
Isabella,Taylor,TX,,isabella84@gmail.com,Consulting Firm,Airbnb,UCLA - Design,I want to meet interesting people.,2026-01-30T09:52:15Z,applied,
Sandeep,Robinson,WA,https://linkedin.com/in/sandeeprobinson,sandeep.robinson@outlook.com,AI Researcher @ Amazon,,NYU - Marketing,I'm a technical founder exploring climate SaaS opportunities.,2026-02-08T23:52:06Z,applied,
Marcus,Chen,Berlin,https://linkedin.com/in/marcuschen,marcuschen@protonmail.com,Policy Analyst at Early-stage startup,Startup Founder (exploring) @ Self-employed,Cambridge - Engineering,Considering building something but still ideating.,2026-02-09T17:44:04Z,accepted,
Jun,Wright,Los Angeles,https://linkedin.com/in/junwright,jun87@outlook.com,Software Engineer at Google,Venture Associate at Nonprofit,Harvard - Economics,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-10T18:26:46Z,applied,
Leo,Nguyen,SF,https://linkedin.com/in/leonguyen,leo.nguyen@gmail.com,Startup Founder (exploring),Policy Analyst,Harvard - Economics,Exploring whether climate is a space worth committing to.,2026-02-12T10:49:15Z,applied,
Jackson,Perez,,https://linkedin.com/in/jacksonperez,jackson89@gmail.com,Business Development @ Microsoft,,,Exploring whether climate is a space worth committing to.,2026-01-15T03:12:51Z,applied,Student exploring.
Rahul,Scott,TX,https://linkedin.com/in/rahulscott,rahul.scott@protonmail.com,Chief of Staff @ Family Office,Chief of Staff at VC Fund,Stanford - CS,"Not sure yet, just checking out the ecosystem.",2026-01-26T09:29:43Z,confirmed,Operator profile.
Zoe,Parker,,,zoeparker@outlook.com,Nonprofit,,State University - Business,I want to meet interesting people.,2026-01-19T08:34:45Z,confirmed,Operator profile.
Rahul,Torres,CA,https://linkedin.com/in/rahultorres,rahul92@yahoo.com,Business Development,Technical Co-founder,MIT - Engineering,I want to meet interesting people.,2026-01-10T19:27:17Z,applied,Student exploring.
Daniel,Robinson,CA,https://linkedin.com/in/danielrobinson,drobinson@yahoo.com,Business Development @ Consulting Firm,Stealth,State University - Business,Considering building something but still ideating.,2026-01-20T01:56:31Z,applied,
Adam,Davis,Seattle,https://linkedin.com/in/adamdavis,adam.davis@outlook.com,Chief of Staff @ Consulting Firm,Policy Analyst @ Early-stage startup,Harvard - Economics,Curious about supply chain and deployment challenges in climate.,2026-02-19T12:17:35Z,applied,
Mason,Baker,,https://linkedin.com/in/masonbaker,mbaker@protonmail.com,Startup Founder (exploring) @ Amazon,,Cambridge - Engineering,Considering building something but still ideating.,2026-02-16T12:06:10Z,applied,
Rahul,Young,Miami,https://linkedin.com/in/rahulyoung,rahul.young@gmail.com,MBA Candidate @ Microsoft,Microsoft,Oxford - PPE,Considering building something but still ideating.,2026-01-19T19:15:25Z,applied,
Chloe,Phillips,WA,https://linkedin.com/in/chloephillips,chloephillips@outlook.com,Talent Lead,Technical Co-founder at VC Fund,High School Senior,Exploring whether climate companies hire differently.,2026-01-30T08:10:05Z,applied,
Aisha,Anderson,USA,,aisha98@gmail.com,Self-employed,,,Exploring whether climate is a space worth committing to.,2026-02-12T08:19:32Z,applied,Operator profile.
Lily,Cho,Miami,https://linkedin.com/in/lilycho,lcho@yahoo.com,Policy Analyst @ Shopify,,UCLA - Design,I want to meet interesting people.,2026-02-21T01:19:22Z,applied,
Claire,Johnson,Austin TX,,clairejohnson@outlook.com,Recruiter at Coinbase,CTO @ Coinbase,Stanford - CS,Looking to build relationships with founders who will need early hires.,2026-02-11T15:14:01Z,declined,
Camila,Brown,Remote,,camila.brown@yahoo.com,Angel Investor @ Coinbase,Talent Lead at Amazon,State University - Business,"Honestly, I just like meeting founders and seeing what people are building.",2026-01-23T05:31:39Z,applied,
Amir,Parker,Seattle,https://linkedin.com/in/amirparker,amir102@protonmail.com,Data Scientist @ VC Fund,Software Engineer,MIT - Engineering,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-31T10:49:54Z,applied,
Valeria,Allen,WA,https://linkedin.com/in/valeriaallen,valeriaallen@yahoo.com,Policy Analyst @ University,,Community College,Considering building something but still ideating.,2026-02-18T01:47:40Z,applied,
Olivia,Taylor,Toronto,https://linkedin.com/in/oliviataylor,olivia104@outlook.com,Early-stage startup,ML Engineer at Self-employed,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-02-13T03:23:23Z,applied,
Fatima,Patel,Los Angeles,https://linkedin.com/in/fatimapatel,fpatel@outlook.com,Operations Manager @ Coinbase,Technical Co-founder @ Stripe,MIT - Engineering,I’ve scaled operations at startups and want to understand hardware-heavy climate companies.,2026-02-21T05:20:23Z,applied,
Logan,Hall,WA,https://linkedin.com/in/loganhall,loganhall@yahoo.com,Stealth,,UCLA - Design,Exploring whether climate is a space worth committing to.,2026-01-01T18:27:14Z,applied,
Lucas,Singh,Canada,https://linkedin.com/in/lucassingh,lucas.singh@yahoo.com,Recruiter at University,Chief of Staff at Stealth,Cambridge - Engineering,Exploring whether climate companies hire differently.,2026-01-16T11:15:30Z,accepted,Student exploring.
Sofia,Ramirez,WA,https://linkedin.com/in/sofiaramirez,sofia108@outlook.com,Technical Co-founder at Coinbase,Sales Director,Community College,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-02T18:14:38Z,applied,
Kiran,Taylor,Los Angeles,https://linkedin.com/in/kirantaylor,kiran109@yahoo.com,Software Engineer @ Nonprofit,Operations Manager at Shopify,Stanford - CS,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-06T09:57:47Z,accepted,
Jamie,Clark,CA,,jclark@outlook.com,Startup Founder (exploring),Family Office,Community College,Exploring whether climate is a space worth committing to.,2026-02-18T02:43:11Z,applied,VC attendee.
Lily,Campbell,Miami,,lcampbell@protonmail.com,ML Engineer at Nonprofit,Venture Associate,MIT - Engineering,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-22T10:19:40Z,confirmed,
Noor,Singh,Chicago,,noorsingh@protonmail.com,Full Stack Engineer at Early-stage startup,,,I'm a technical founder exploring climate SaaS opportunities.,2026-01-31T20:52:40Z,declined,Probably not serious.
Nina,Mitchell,USA,https://linkedin.com/in/ninamitchell,nmitchell@yahoo.com,Operations Manager @ Nonprofit,Community Lead @ Stripe,State University - Business,I’ve scaled operations at startups and want to understand hardware-heavy climate companies.,2026-02-10T20:01:06Z,accepted,
Yuki,Chen,Seattle,https://linkedin.com/in/yukichen,yuki.chen@outlook.com,Student at Coinbase,Operations Manager at Early-stage startup,Oxford - PPE,Mostly here to learn and see what people are working on.,2026-01-18T21:39:48Z,applied,
Becca,Perez,Denver,https://linkedin.com/in/beccaperez,becca.perez@outlook.com,Full Stack Engineer at Stealth,,UCLA - Design,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-13T22:12:13Z,applied,
Sam,Lee,WA,,sam.lee@outlook.com,Product Manager (non-technical),,Cambridge - Engineering,Exploring whether climate is a space worth committing to.,2026-02-18T17:30:10Z,applied,
Keiko,Cho,TX,https://linkedin.com/in/keikocho,keikocho@gmail.com,AI Researcher @ Google,Venture Associate at Early-stage startup,State University - Business,I'm a technical founder exploring climate SaaS opportunities.,2026-01-22T19:32:12Z,applied,Likely strong founder.
Keiko,Mehta,WA,https://linkedin.com/in/keikomehta,kmehta@protonmail.com,Data Scientist,,Community College,I'm a technical founder exploring climate SaaS opportunities.,2026-01-06T14:25:52Z,applied,
Hannah,Moore,Boston,https://linkedin.com/in/hannahmoore,hmoore@protonmail.com,AI Researcher,Policy Analyst @ Self-employed,State University - Business,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-18T14:49:21Z,applied,
Priya,Robinson,Chicago,https://linkedin.com/in/priyarobinson,priya.robinson@yahoo.com,Recruiter @ Microsoft,Technical Co-founder @ VC Fund,Oxford - PPE,Exploring whether climate companies hire differently.,2026-02-22T18:31:54Z,confirmed,
Elena,Chen,Boston,https://linkedin.com/in/elenachen,elenachen@protonmail.com,Backend Engineer @ Nonprofit,Data Scientist @ Google,Community College,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-18T09:00:32Z,applied,
Rohan,Chen,MA,https://linkedin.com/in/rohanchen,rchen@protonmail.com,Sales Director @ Microsoft,Business Development @ Microsoft,Cambridge - Engineering,Considering building something but still ideating.,2026-02-13T01:35:57Z,confirmed,
Fatima,Ramirez,MA,https://linkedin.com/in/fatimaramirez,fatimaramirez@outlook.com,Consulting Firm,,Community College,Just curious about the startup scene.,2026-01-16T19:52:03Z,applied,
Priya,Turner,WA,https://linkedin.com/in/priyaturner,priyaturner@outlook.com,Amazon,Data Scientist at VC Fund,Stanford - CS,Just curious about the startup scene.,2026-01-19T11:05:03Z,applied,
Lucas,Chen,CA,https://linkedin.com/in/lucaschen,lucas.chen@gmail.com,Software Engineer @ Google,,NYU - Marketing,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-15T11:04:17Z,applied,
Elena,Turner,Canada,https://linkedin.com/in/elenaturner,eturner@gmail.com,Venture Associate @ Shopify,,State University - Business,"Honestly, I just like meeting founders and seeing what people are building.",2026-01-24T02:08:20Z,applied,Probably not serious.
Leo,Lopez,Denver,https://linkedin.com/in/leolopez,leo.lopez@yahoo.com,Startup Founder (exploring),VC Fund,UCLA - Design,Exploring whether climate is a space worth committing to.,2026-01-25T20:41:25Z,confirmed,
Rahul,Phillips,MA,,rphillips@protonmail.com,Data Scientist @ Shopify,,Cambridge - Engineering,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-20T00:24:07Z,confirmed,
Adam,King,SF,,adam.king@yahoo.com,Product Manager (non-technical) at Airbnb,Data Scientist at Amazon,High School Senior,I'm exploring startup careers and curious about climate.,2026-01-13T07:38:28Z,accepted,
Lucas,Allen,FL,https://linkedin.com/in/lucasallen,lucas.allen@protonmail.com,AI Researcher,Policy Analyst,Oxford - PPE,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-13T19:53:53Z,applied,Probably not serious.
Riley,Evans,Canada,,rileyevans@outlook.com,Startup Founder (exploring),Talent Lead,Cambridge - Engineering,I want to meet interesting people.,2026-01-27T09:42:50Z,applied,
Zoe,Davis,Berlin,https://linkedin.com/in/zoedavis,zdavis@outlook.com,Microsoft,ML Engineer @ Consulting Firm,,Just curious about the startup scene.,2026-02-10T18:42:51Z,applied,
Sara,Thomas,WA,,sthomas@protonmail.com,Shopify,Software Engineer,Stanford - CS,Considering building something but still ideating.,2026-02-21T20:28:43Z,applied,
Jamie,Evans,,https://linkedin.com/in/jamieevans,jamie134@yahoo.com,AI Researcher at Consulting Firm,Google,,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-15T04:49:44Z,accepted,
